subject,label
Follow-up on supply chain review,not_spam
Photos from Leeds trip,not_spam
New articles you might like,not_spam
Double your bitcoin in 3 days,spam
Click here to claim your inheritance,spam
Re: customer survey results - next steps,not_spam
Thoughts on new pasta recipe,not_spam
Proposal for app redesign,not_spam
Hotel booking confirmed - Manchester,not_spam
Statement available: Brightpath Education account,not_spam
Appointment confirmation with Lakeside Studios,not_spam
Update on partnership proposal,not_spam
Enlarge your... limited time deal inside,spam
Photos from Bristol trip,not_spam
Lose 10 lbs in 30 days - guaranteed,spam
Update on vendor contract,not_spam
Can you send me that recipe?,not_spam
Statement available: Redstone Capital account,not_spam
Claim your free gift card before it's gone,spam
Thanks for your help with client migration,not_spam
Feedback needed on product launch,not_spam
Status update: expense report,not_spam
Notes from today's meeting on training program,not_spam
Get 75% OFF everything today only,spam
Your Amazon order #447596 has an issue,spam
FREE smartwatch - limited time offer,spam
Latest release notes from Meridian Partners,not_spam
Pinecrest Systems newsletter - August edition,not_spam
Re: client migration - next steps,not_spam
Quick question about training program,not_spam
Elena shared a document with you: client migration,not_spam
Draft agenda for partnership proposal kickoff,not_spam
Your order from Copperfield Retail has shipped,not_spam
Your invoice from Vantage Group is ready,not_spam
Happy birthday!,not_spam
Follow-up on marketing campaign,not_spam
FREE AirPods - limited time offer,spam
Robert shared a document with you: supply chain review,not_spam
Can we reschedule our call about website redesign?,not_spam
Appointment confirmation with Bluebird Media,not_spam
Draft agenda for onboarding checklist kickoff,not_spam
Delivery scheduled for tomorrow,not_spam
Feedback needed on vendor contract,not_spam
Lose 30 lbs in 30 days - guaranteed,spam
Your weekly digest from Solstice Design,not_spam
hiking trip this weekend - you in?,not_spam
Congrats on the new job!,not_spam
Notes from today's meeting on town hall meeting,not_spam
Feedback needed on website redesign,not_spam
Re: vendor contract - next steps,not_spam
Hotel booking confirmed - Dublin,not_spam
Proposal for Q3 budget review,not_spam
Feedback needed on press release draft,not_spam
Catching up soon?,not_spam
What's new on our platform this month,not_spam
Latest release notes from Pinecrest Systems,not_spam
Flight confirmation for your trip to Austin,not_spam
Your monthly summary is ready,not_spam
Re: Q3 budget review - next steps,not_spam
Reminder: annual report due Friday,not_spam
Follow-up on sprint retrospective,not_spam
Your Amazon order #965938 has an issue,spam
Photos from Seattle trip,not_spam
Your weekly digest from Bluebird Media,not_spam
Cheap VPN subscription - buy 1 get 3 free,spam
Lose 15 lbs in 7 days - guaranteed,spam
Act now: your refund of $10000 is waiting,spam
Your invoice from Northwind Logistics is ready,not_spam
Follow-up on hiring plan,not_spam
Password changed successfully,not_spam
website redesign - final version attached,not_spam
Nigerian prince needs your help - urgent,spam
Victor shared a document with you: onboarding checklist,not_spam
Your Amazon order #415076 has an issue,spam
Quick question about office relocation,not_spam
Michael shared a document with you: website redesign,not_spam
Your weekly digest from Ironwood Tech,not_spam
choir rehearsal this weekend - you in?,not_spam
Exclusive investment opportunity - 60% returns guaranteed,spam
Hotel booking confirmed - Amsterdam,not_spam
Thanks for your help with product launch,not_spam
Proposal for town hall meeting,not_spam
Thanks for dinner last night,not_spam
Draft agenda for customer survey results kickoff,not_spam
Proposal for annual report,not_spam
Priya shared a document with you: customer survey results,not_spam
Receipt for your recent purchase - Harborview Consulting,not_spam
Latest release notes from Solstice Design,not_spam
Receipt for your recent purchase - Northwind Logistics,not_spam
security audit - final version attached,not_spam
Claim your free weight loss pills before it's gone,spam
Thanks for your help with training program,not_spam
Your Amazon order #426053 has an issue,spam
Your weekly digest from Redstone Capital,not_spam
Can we reschedule our call about onboarding checklist?,not_spam
Your invoice from Solstice Design is ready,not_spam
Your Amazon order #879850 has an issue,spam
Photos from Amsterdam trip,not_spam
Thanks for your help with partnership proposal,not_spam
Get 70% OFF everything today only,spam
Receipt for your recent purchase - Solstice Design,not_spam
Flight confirmation for your trip to Vancouver,not_spam
Notes from today's meeting on expense report,not_spam
You've WON a PlayStation 5! Claim now,spam
Your order from Meridian Partners has shipped,not_spam
Re: Final notice - payment overdue,spam
Action items from product launch meeting,not_spam
"Job opportunity - earn $750 daily, no experience",spam
Status update: marketing campaign,not_spam
Make $2500 a week working from home,spam
Thoughts on BBQ this Saturday,not_spam
Action items from town hall meeting meeting,not_spam
Reminder: training program due Friday,not_spam
Community update from Brightpath Education,not_spam
Quick question about hiring plan,not_spam
Photos from Austin trip,not_spam
Quick question about security audit,not_spam
Act now: your refund of $5000 is waiting,spam
hiring plan - final version attached,not_spam
Last chance: 99% discount expires tonight,spam
Lose 20 lbs in 3 days - guaranteed,spam
Lose 10 lbs in 14 days - guaranteed,spam
Receipt for your recent purchase - Brightpath Education,not_spam
Act now: your refund of $1000 is waiting,spam
Upcoming events near Toronto,not_spam
Are we still on for coffee tomorrow?,not_spam
Upcoming events near Dublin,not_spam
Chen shared a document with you: website redesign,not_spam
Appointment confirmation with Copperfield Retail,not_spam
FREE VPN subscription - limited time offer,spam
Photos from Manchester trip,not_spam
Copperfield Retail newsletter - August edition,not_spam
You've WON a free cruise! Claim now,spam
Cheap Viagra - buy 1 get 3 free,spam
Exclusive investment opportunity - 75% returns guaranteed,spam
Exclusive investment opportunity - 90% returns guaranteed,spam
Sophie's wedding invitation,not_spam
Latest release notes from Lakeside Studios,not_spam
Your invoice from Harborview Consulting is ready,not_spam
WARNING: suspicious login detected on your account,spam
chess tournament this weekend - you in?,not_spam
Family reunion planning,not_spam
Action items from app redesign meeting,not_spam
Last chance: 60% discount expires tonight,spam
Draft agenda for annual report kickoff,not_spam
pottery class this weekend - you in?,not_spam
Exclusive investment opportunity - 70% returns guaranteed,spam
Community update from Redstone Capital,not_spam
Your Amazon order #250840 has an issue,spam
Verify your identity to avoid account closure,spam
Your order from Northwind Logistics has shipped,not_spam
Your package could not be delivered - action required,spam
Lose 15 lbs in 14 days - guaranteed,spam
Your invoice from Lakeside Studios is ready,not_spam
Act now: your refund of $500 is waiting,spam
Proposal for hiring plan,not_spam
Receipt for your recent purchase - Bluebird Media,not_spam
